26-06-2015 11:20:20,080 [main] INFO  - Started ServerConnector@29240739{HTTP/1.1}{0.0.0.0:8888}
26-06-2015 11:20:20,081 [main] INFO  - Started @1288ms
26-06-2015 11:22:38,335 [main] INFO  - Logging initialized @147ms
26-06-2015 11:22:38,402 [main] INFO  - jetty-9.2.z-SNAPSHOT
26-06-2015 11:22:38,417 [main] INFO  - Started o.e.j.s.h.ContextHandler@592bf469{/static,null,AVAILABLE}
26-06-2015 11:22:38,435 [main] INFO  - Started ServerConnector@25398d43{HTTP/1.1}{0.0.0.0:8892}
26-06-2015 11:22:38,436 [main] INFO  - Started @253ms
26-06-2015 11:28:04,371 [main] INFO  - Logging initialized @1192ms
26-06-2015 11:28:04,447 [main] INFO  - jetty-9.2.z-SNAPSHOT
26-06-2015 11:28:04,461 [main] INFO  - Started o.e.j.s.h.ContextHandler@64d40911{/static,null,AVAILABLE}
26-06-2015 11:28:04,480 [main] INFO  - Started ServerConnector@7c564448{HTTP/1.1}{0.0.0.0:8888}
26-06-2015 11:28:04,481 [main] INFO  - Started @1304ms
26-06-2015 11:28:04,862 [main] INFO  - Stopped ServerConnector@7c564448{HTTP/1.1}{0.0.0.0:8888}
26-06-2015 11:28:04,863 [main] INFO  - Stopped o.e.j.s.h.ContextHandler@64d40911{/static,null,UNAVAILABLE}
26-06-2015 11:28:04,867 [main] INFO  - jetty-9.2.z-SNAPSHOT
26-06-2015 11:28:04,869 [main] INFO  - Started o.e.j.s.h.ContextHandler@1b715ee2{/static,null,AVAILABLE}
26-06-2015 11:28:04,871 [main] INFO  - Started ServerConnector@1723ade0{HTTP/1.1}{0.0.0.0:8888}
26-06-2015 11:28:04,871 [main] INFO  - Started @1694ms
26-06-2015 11:28:04,884 [main] INFO  - Stopped ServerConnector@1723ade0{HTTP/1.1}{0.0.0.0:8888}
26-06-2015 11:28:04,885 [main] INFO  - Stopped o.e.j.s.h.ContextHandler@1b715ee2{/static,null,UNAVAILABLE}
26-06-2015 11:28:04,887 [main] INFO  - jetty-9.2.z-SNAPSHOT
26-06-2015 11:28:04,888 [main] INFO  - Started o.e.j.s.h.ContextHandler@434a40bd{/static,null,AVAILABLE}
26-06-2015 11:28:04,889 [main] INFO  - Started ServerConnector@47631bc9{HTTP/1.1}{0.0.0.0:8888}
26-06-2015 11:28:04,889 [main] INFO  - Started @1712ms
26-06-2015 11:28:04,902 [main] INFO  - Stopped ServerConnector@47631bc9{HTTP/1.1}{0.0.0.0:8888}
26-06-2015 11:28:04,903 [main] INFO  - Stopped o.e.j.s.h.ContextHandler@434a40bd{/static,null,UNAVAILABLE}
26-06-2015 11:28:04,904 [main] INFO  - jetty-9.2.z-SNAPSHOT
26-06-2015 11:28:04,905 [main] INFO  - Started o.e.j.s.h.ContextHandler@331e965f{/static,null,AVAILABLE}
26-06-2015 11:28:04,907 [main] INFO  - Started ServerConnector@267e9611{HTTP/1.1}{0.0.0.0:8888}
26-06-2015 11:28:04,907 [main] INFO  - Started @1730ms
26-06-2015 11:28:04,918 [main] INFO  - Stopped ServerConnector@267e9611{HTTP/1.1}{0.0.0.0:8888}
26-06-2015 11:28:04,919 [main] INFO  - Stopped o.e.j.s.h.ContextHandler@331e965f{/static,null,UNAVAILABLE}
26-06-2015 11:28:04,922 [main] INFO  - jetty-9.2.z-SNAPSHOT
26-06-2015 11:28:04,925 [main] INFO  - Started o.e.j.s.h.ContextHandler@4b8f2f{/static,null,AVAILABLE}
26-06-2015 11:28:04,927 [main] INFO  - Started ServerConnector@6e6619b{HTTP/1.1}{0.0.0.0:8888}
26-06-2015 11:28:04,927 [main] INFO  - Started @1750ms
26-06-2015 11:28:04,948 [main] INFO  - Stopped ServerConnector@6e6619b{HTTP/1.1}{0.0.0.0:8888}
26-06-2015 11:28:04,948 [main] INFO  - Stopped o.e.j.s.h.ContextHandler@4b8f2f{/static,null,UNAVAILABLE}
26-06-2015 11:30:28,354 [main] INFO  - Logging initialized @1092ms
26-06-2015 11:30:28,416 [main] INFO  - jetty-9.2.z-SNAPSHOT
26-06-2015 11:30:28,430 [main] INFO  - Started o.e.j.s.h.ContextHandler@2723a510{/static,null,AVAILABLE}
26-06-2015 11:30:28,447 [main] INFO  - Started ServerConnector@7c564448{HTTP/1.1}{0.0.0.0:8888}
26-06-2015 11:30:28,447 [main] INFO  - Started @1187ms
26-06-2015 11:30:28,806 [main] INFO  - Stopped ServerConnector@7c564448{HTTP/1.1}{0.0.0.0:8888}
26-06-2015 11:30:28,807 [main] INFO  - Stopped o.e.j.s.h.ContextHandler@2723a510{/static,null,UNAVAILABLE}
26-06-2015 11:30:28,810 [main] INFO  - jetty-9.2.z-SNAPSHOT
26-06-2015 11:30:28,811 [main] INFO  - Started o.e.j.s.h.ContextHandler@1d88031d{/static,null,AVAILABLE}
26-06-2015 11:30:28,813 [main] INFO  - Started ServerConnector@1a6d8240{HTTP/1.1}{0.0.0.0:8888}
26-06-2015 11:30:28,813 [main] INFO  - Started @1553ms
26-06-2015 11:30:28,829 [main] INFO  - Stopped ServerConnector@1a6d8240{HTTP/1.1}{0.0.0.0:8888}
26-06-2015 11:30:28,830 [main] INFO  - Stopped o.e.j.s.h.ContextHandler@1d88031d{/static,null,UNAVAILABLE}
26-06-2015 11:30:28,831 [main] INFO  - jetty-9.2.z-SNAPSHOT
26-06-2015 11:30:28,832 [main] INFO  - Started o.e.j.s.h.ContextHandler@5bcc5d5a{/static,null,AVAILABLE}
26-06-2015 11:30:28,833 [main] INFO  - Started ServerConnector@5fa69971{HTTP/1.1}{0.0.0.0:8888}
26-06-2015 11:30:28,833 [main] INFO  - Started @1573ms
26-06-2015 11:30:28,846 [main] INFO  - Stopped ServerConnector@5fa69971{HTTP/1.1}{0.0.0.0:8888}
26-06-2015 11:30:28,847 [main] INFO  - Stopped o.e.j.s.h.ContextHandler@5bcc5d5a{/static,null,UNAVAILABLE}
26-06-2015 11:30:28,849 [main] INFO  - jetty-9.2.z-SNAPSHOT
26-06-2015 11:30:28,850 [main] INFO  - Started o.e.j.s.h.ContextHandler@16ae079{/static,null,AVAILABLE}
26-06-2015 11:30:28,851 [main] INFO  - Started ServerConnector@fb728a9{HTTP/1.1}{0.0.0.0:8888}
26-06-2015 11:30:28,852 [main] INFO  - Started @1591ms
26-06-2015 11:30:28,864 [main] INFO  - Stopped ServerConnector@fb728a9{HTTP/1.1}{0.0.0.0:8888}
